cache_version,exp_name,block_id,n_epochs,recording_order,recording_family,recording_family_source,rec_type,rec_note,online_analysis_recorded,recording_technique,series_resistance_mohm,series_resistance_source,mean_current_pa,classifier_p_whole_cell,classifier_confidence,classifier_prediction,classifier_family,classifier_source,classifier_model_version,classifier_min_confidence
8,2020-07-29_G,10119,6,2,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,134.30642291666666,0.13058907326384595,0.869410926736154,cell-attached,,cell-held-out prediction,1,0.9
8,2020-07-29_G,10121,7,3,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,-69.17675,0.005126482271564953,0.994873517728435,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-07-29_G,10103,2,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,7.577844875,0.010500479422685826,0.9894995205773142,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-07-29_G,10104,7,1,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,126.75838968750001,0.007990128927309902,0.9920098710726901,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-07-29_G,10105,3,2,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,-127.363096875,0.0,1.0,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-07-29_G,10110,2,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,70.81562625000001,0.009110552567425066,0.9908894474325749,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-07-29_G,10111,6,1,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,190.92985354166663,0.0,1.0,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-07-29_G,10112,2,2,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,685.657893125,0.0,1.0,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-07-29_G,10107,12,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,78.33560697916667,0.13372489196119533,0.8662751080388047,cell-attached,,cell-held-out prediction,1,0.9
8,2020-07-29_G,10125,12,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,-14.230086749999998,0.009588196764502285,0.9904118032354977,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-07-29_G,10129,7,1,whole-cell,recordingTechnique,exc,recordingTechnique is whole-cell; polarity from mean current (-1.58e+03),,whole-cell,,unavailable,-1578.5890739583335,0.9862094058537932,0.9862094058537932,whole-cell,whole-cell,cell-held-out prediction,1,0.9
8,2020-07-29_G,10130,2,2,whole-cell,recordingTechnique,exc,recordingTechnique is whole-cell; polarity from mean current (-1.81e+03),,whole-cell,,unavailable,-1805.999603125,0.9778076997936638,0.9778076997936638,whole-cell,whole-cell,cell-held-out prediction,1,0.9
8,2020-07-29_G,10132,7,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,-198.60320666666667,0.0,1.0,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-07-29_G,10134,2,1,whole-cell,recordingTechnique,exc,recordingTechnique is whole-cell; polarity from mean current (-5.47e+03),,whole-cell,,unavailable,-5471.57625625,0.9992657342657343,0.9992657342657343,whole-cell,whole-cell,cell-held-out prediction,1,0.9
8,2020-07-29_G,10135,1,2,whole-cell,recordingTechnique,exc,recordingTechnique is whole-cell; polarity from mean current (-6.49e+03),,whole-cell,,unavailable,-6489.547275,0.9772613423969799,0.9772613423969799,whole-cell,whole-cell,cell-held-out prediction,1,0.9
8,2020-08-11_G,10159,12,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,1.6394551249999996,0.02452689450675926,0.9754731054932407,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-08-11_G,10153,12,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,-323.37378291666664,0.0,1.0,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-08-11_G,10156,2,1,whole-cell,recordingTechnique,exc,recordingTechnique is whole-cell; polarity from mean current (-1.74e+03),,whole-cell,,unavailable,-1739.17613125,0.9137042808563706,0.9137042808563706,whole-cell,whole-cell,cell-held-out prediction,1,0.9
8,2020-08-11_G,10157,7,2,whole-cell,recordingTechnique,exc,recordingTechnique is whole-cell; polarity from mean current (-1.45e+03),,whole-cell,,unavailable,-1449.379225,0.9314298450664593,0.9314298450664593,whole-cell,whole-cell,cell-held-out prediction,1,0.9
8,2020-08-11_G,10175,13,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,-210.8479984375,0.0,1.0,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-08-11_G,10184,16,0,whole-cell,recordingTechnique,exc,recordingTechnique is whole-cell; polarity from mean current (-1.29e+03),,whole-cell,,unavailable,-1292.2564104166668,0.9556396948218315,0.9556396948218315,whole-cell,whole-cell,cell-held-out prediction,1,0.9
8,2020-08-11_G,10187,2,1,whole-cell,recordingTechnique,exc,recordingTechnique is whole-cell; polarity from mean current (-848),,whole-cell,,unavailable,-848.1010437499999,0.9694982274991248,0.9694982274991248,whole-cell,whole-cell,cell-held-out prediction,1,0.9
8,2020-08-11_G,10188,4,2,whole-cell,recordingTechnique,exc,recordingTechnique is whole-cell; polarity from mean current (-746),,whole-cell,,unavailable,-746.1145468750001,0.9502311924521412,0.9502311924521412,whole-cell,whole-cell,cell-held-out prediction,1,0.9
8,2020-08-11_G,10145,1,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,45.73646,0.10892246044871567,0.8910775395512843,cell-attached,,cell-held-out prediction,1,0.9
8,2020-08-11_G,10146,10,1,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,157.33449,0.0,1.0,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-08-11_G,10149,2,2,whole-cell,recordingTechnique,exc,recordingTechnique is whole-cell; polarity from mean current (-2.55e+03),,whole-cell,,unavailable,-2545.9536875,0.9182556995452078,0.9182556995452078,whole-cell,whole-cell,cell-held-out prediction,1,0.9
8,2020-08-11_G,10151,6,3,whole-cell,recordingTechnique,exc,recordingTechnique is whole-cell; polarity from mean current (-3.65e+03),,whole-cell,,unavailable,-3648.0943291666667,0.9364499782228813,0.9364499782228813,whole-cell,whole-cell,cell-held-out prediction,1,0.9
8,2020-08-11_G,10152,12,4,whole-cell,recordingTechnique,exc,recordingTechnique is whole-cell; polarity from mean current (-3.91e+03),,whole-cell,,unavailable,-3914.87691875,0.9251622939070274,0.9251622939070274,whole-cell,whole-cell,cell-held-out prediction,1,0.9
8,2020-08-11_G,10137,14,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,-368.7090229166667,0.0,1.0,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-08-11_G,10168,14,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,-359.49097395833337,0.0,1.0,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-08-11_G,10171,15,1,whole-cell,recordingTechnique,exc,recordingTechnique is whole-cell; polarity from mean current (-2.35e+03),,whole-cell,,unavailable,-2350.597658333333,0.8887926264765907,0.8887926264765907,whole-cell,,cell-held-out prediction,1,0.9
8,2020-08-11_G,10179,8,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,-187.6726725,0.007784719878527359,0.9922152801214726,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-08-25_G,10273,9,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,287.03038125,0.0,1.0,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-08-25_G,10275,12,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,339.8502470833334,0.0,1.0,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-08-25_G,10267,6,0,cell-attached,high-confidence block classifier,extracellular,high-confidence block classifier establishes cell-attached,,,,unavailable,249.977169375,0.0,1.0,cell-attached,cell-attached,model fitted to labelled blocks,1,0.9
8,2020-08-25_G,10262,6,0,cell-attached,high-confidence block classifier,extracellular,high-confidence block classifier establishes cell-attached,,,,unavailable,311.81316062499997,0.0,1.0,cell-attached,cell-attached,model fitted to labelled blocks,1,0.9
8,2020-08-25_G,10263,8,1,cell-attached,high-confidence block classifier,extracellular,high-confidence block classifier establishes cell-attached,,,,unavailable,242.80986270833333,0.0,1.0,cell-attached,cell-attached,model fitted to labelled blocks,1,0.9
8,2020-08-25_G,10270,6,0,cell-attached,high-confidence block classifier,extracellular,high-confidence block classifier establishes cell-attached,,,,unavailable,259.2406085416667,0.0,1.0,cell-attached,cell-attached,model fitted to labelled blocks,1,0.9
8,2020-08-25_G,10260,14,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,234.04119312499998,0.0,1.0,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-08-25_G,10256,14,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,284.5355608333333,0.0047590997663374025,0.9952409002336626,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-08-25_G_scotopic,10252,14,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,104.74683625,0.07046493679298742,0.9295350632070126,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-08-25_G_scotopic,10246,14,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,181.69441083333334,0.0,1.0,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-08-25_G_scotopic,10248,8,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,-69.20026874999999,0.003012417016035834,0.9969875829839642,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-08-25_G_scotopic,10249,7,1,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,-134.160150625,0.0,1.0,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-10-20_G,10544,11,0,whole-cell,recordingTechnique,exc,recordingTechnique is whole-cell; polarity from mean current (-1.18e+03),,whole-cell,,unavailable,-1179.20178,0.9985314685314686,0.9985314685314686,whole-cell,whole-cell,cell-held-out prediction,1,0.9
8,2020-10-20_G,10545,5,1,whole-cell,recordingTechnique,inh,recordingTechnique is whole-cell; polarity from mean current (1.14e+03),,whole-cell,,unavailable,1135.2177585,0.9511431665518261,0.9511431665518261,whole-cell,whole-cell,cell-held-out prediction,1,0.9
8,2020-10-20_G,10550,12,0,whole-cell,recordingTechnique,inh,recordingTechnique is whole-cell; polarity from mean current (858),,whole-cell,,unavailable,858.1494791666668,0.9599781095988686,0.9599781095988686,whole-cell,whole-cell,cell-held-out prediction,1,0.9
8,2020-10-20_G,10552,11,1,whole-cell,recordingTechnique,exc,recordingTechnique is whole-cell; polarity from mean current (-155),,whole-cell,,unavailable,-154.8011,0.9964886750785275,0.9964886750785275,whole-cell,whole-cell,cell-held-out prediction,1,0.9
8,2020-10-20_G,10553,11,2,whole-cell,recordingTechnique,inh,recordingTechnique is whole-cell; polarity from mean current (1.25e+03),,whole-cell,,unavailable,1248.5901041666668,0.8929511056082738,0.8929511056082738,whole-cell,,cell-held-out prediction,1,0.9
8,2020-10-20_G,10557,6,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,-14.799231458333333,0.0012587412587412587,0.9987412587412587,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-12-03_G,10940,12,0,cell-attached,high-confidence block classifier,extracellular,high-confidence block classifier establishes cell-attached,,,,unavailable,153.96895020833333,0.008925726407043574,0.9910742735929564,cell-attached,cell-attached,model fitted to labelled blocks,1,0.9
8,2020-12-03_G,10948,8,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,144.4422080208333,0.1900883055210089,0.8099116944789911,cell-attached,,cell-held-out prediction,1,0.9
8,2020-12-03_G,10949,4,1,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,725.4245840625,0.007981632825006319,0.9920183671749937,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-12-03_G,10942,12,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,-96.86235104166666,0.4583545085371307,0.5416454914628692,cell-attached,,cell-held-out prediction,1,0.9
8,2020-12-03_G,10944,12,1,whole-cell,recordingTechnique,exc,recordingTechnique is whole-cell; polarity from mean current (-858),,whole-cell,,unavailable,-857.6431854166667,0.9498119745286278,0.9498119745286278,whole-cell,whole-cell,cell-held-out prediction,1,0.9
8,2020-12-03_G,10945,2,2,whole-cell,recordingTechnique,inh,recordingTechnique is whole-cell; polarity from mean current (2.1e+03),,whole-cell,,unavailable,2100.467009375,0.828099222829091,0.828099222829091,whole-cell,,cell-held-out prediction,1,0.9
8,2020-12-03_G,10946,8,3,whole-cell,recordingTechnique,inh,recordingTechnique is whole-cell; polarity from mean current (1.89e+03),,whole-cell,,unavailable,1893.5964385416664,0.8264422054038194,0.8264422054038194,whole-cell,,cell-held-out prediction,1,0.9
8,2020-12-03_G,10930,11,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,-86.71239954166667,0.30935968630092375,0.6906403136990762,cell-attached,,cell-held-out prediction,1,0.9
8,2020-12-03_G,10931,2,1,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,-185.622901125,0.04550863417740849,0.9544913658225915,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-12-03_G,10934,6,2,whole-cell,recordingTechnique,exc,recordingTechnique is whole-cell; polarity from mean current (-775),,whole-cell,,unavailable,-774.79085,0.9742504320211538,0.9742504320211538,whole-cell,whole-cell,cell-held-out prediction,1,0.9
8,2020-12-03_G,10936,12,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,-55.52880991666666,0.0,1.0,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-12-03_G,10937,2,1,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,-121.840514,0.004487671684868526,0.9955123283151315,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2021-02-01_B,11401,12,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,0.0,raw H5,-34.88822229166667,0.0,1.0,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2021-02-01_B,11402,50,1,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,0.0,raw H5,-99.52569406250001,0.0,1.0,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2021-02-01_B,11392,31,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,0.0,raw H5,28.127870166666664,0.02226773531510317,0.9777322646848968,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2021-03-02_B,11537,9,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,0.0,raw H5,-453.1149808333333,0.003550321199143469,0.9964496788008566,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2021-03-02_B,11548,10,1,whole-cell,positive series resistance,exc,positive series resistance (16.33 MOhm) forces whole-cell; polarity from mean current (-431),,whole-cell,16.33493479752917,raw H5,-430.5790458333333,0.998925831202046,0.998925831202046,whole-cell,whole-cell,cell-held-out prediction,1,0.9
8,2021-03-02_B,11528,10,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,0.0,raw H5,-43.97861166666667,0.028072784312987202,0.9719272156870128,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2021-03-02_B,11562,9,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,0.0,raw H5,-125.80538270833334,0.08878072536329287,0.9112192746367072,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2021-04-27_B,12017,12,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,0.0,raw H5,44.37141729166666,0.0,1.0,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2021-04-27_B,12018,4,1,whole-cell,positive series resistance,exc,positive series resistance (6.56 MOhm) forces whole-cell; overrides recordingTechnique=cell-attached; polarity from mean current (-1.25e+03),,cell-attached,6.556751716538104,raw H5,-1250.787525,1.0,1.0,whole-cell,whole-cell,cell-held-out prediction,1,0.9
8,2021-04-27_B,12019,7,2,whole-cell,positive series resistance,exc,positive series resistance (6.56 MOhm) forces whole-cell; overrides recordingTechnique=cell-attached; polarity from mean current (-2.81e+03),,cell-attached,6.556751716538104,raw H5,-2807.3442270833334,0.9919735856367282,0.9919735856367282,whole-cell,whole-cell,cell-held-out prediction,1,0.9
8,2021-04-27_B,12005,12,0,cell-attached,high-confidence block classifier,extracellular,high-confidence block classifier establishes cell-attached,,,0.0,raw H5,-42.06217408333334,0.0,1.0,cell-attached,cell-attached,model fitted to labelled blocks,1,0.9
8,2021-04-27_B,12013,12,0,cell-attached,high-confidence block classifier,extracellular,high-confidence block classifier establishes cell-attached,,,0.0,raw H5,-110.14147091666666,0.0,1.0,cell-attached,cell-attached,model fitted to labelled blocks,1,0.9
8,2021-04-27_B,12009,12,0,whole-cell,single documented family in cell,exc,chronology infers whole-cell; polarity from mean current (-42.1),,,0.0,raw H5,-42.05760775000001,0.15394435183598756,0.8460556481640125,cell-attached,,model fitted to labelled blocks,1,0.9
8,2021-04-27_B,12011,11,1,whole-cell,positive series resistance,exc,positive series resistance (9.04 MOhm) forces whole-cell; polarity from mean current (-2.02e+03),,,9.042553191489361,raw H5,-2018.6356833333332,0.8384709429222328,0.8384709429222328,whole-cell,,model fitted to labelled blocks,1,0.9
8,2021-04-27_B,12021,7,0,cell-attached,high-confidence block classifier,extracellular,high-confidence block classifier establishes cell-attached,,,0.0,raw H5,24.706273145833336,0.032183264928025826,0.9678167350719742,cell-attached,cell-attached,model fitted to labelled blocks,1,0.9
